study;condition_arm1;condition_arm2;condition_arm1_details;condition_arm2_details;multi_arm1;multi_arm2;.g;.g_se;instrument;outcome_type;rating;mean_arm1;sd_arm1;n_arm1;mean_arm2;sd_arm2;n_arm2;mean_change_arm1;sd_change_arm1;n_change_arm1;mean_change_arm2;sd_change_arm2;n_change_arm2;event_arm1;totaln_arm1;event_arm2;totaln_arm2;precalc_g;precalc_g_se;baseline_m_arm1;baseline_sd_arm1;baseline_n_arm1;baseline_m_arm2;baseline_sd_arm2;baseline_n_arm2;itt_claimed;is_subscale;is_subsample;primary_study;single_study;year;time;time_weeks;disorder;disorder_details;mean_age;percent_women;percent_ethnicity;percent_collegeeducation;country;treatfreq_arm1;boosternum_arm1;boosterlength_arm1;comorbid_mental;.log_rr;.log_rr_se;.event_arm1;.event_arm2;.totaln_arm1;.totaln_arm2;.id
Abolghasemi, 2015;mbct;ebt;mbct;cognitive therapy;NA;NA;0,68;0,38;bdi;msd;NA;6,13;3,73;15;9,02;4,45;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31,26;4,96;15;32,25;4,69;15;1;1;0;1;1;2015;post;12,00;depression;depression;29,00;60,00;100,00;NA;iran;1,00;0;0;0;NA;NA;NA;NA;NA;NA;abolghasemi2015_msd_bdi_post_12.00_NA_mbct_ebt_NA_NA
Abolghasemi, 2015;mbct;ebt;mbct;cognitive therapy;NA;NA;0,59;0,37;bdi;msd;NA;6,51;3,73;15;9,33;5,42;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31,26;4,96;15;32,25;4,69;15;1;1;0;1;1;2015;fu;12,00;depression;depression;29,00;60,00;100,00;NA;iran;1,00;0;0;0;NA;NA;NA;NA;NA;NA;abolghasemi2015_msd_bdi_fu_12.00_NA_mbct_ebt_NA_NA
Alberts, 2010;none;no treatment;dietary treatment + mindfulness;dietary treatment;NA;NA;-0,13;0,46;weight;msd;NA;84,94;17,04;10;82,75;14,20;9;-1,92;NA;NA;-1,11;NA;NA;NA;NA;NA;NA;NA;NA;86,86;17,04;10;83,86;14,20;9;1;2;0;1;1;2010;post;7,00;weight/eating;obesity;51,88;89,47;NA;NA;netherlands;NA;0;0;0;NA;NA;NA;NA;NA;NA;alberts2010_msd_weight_post_7.00_NA_none_notreatment_NA_NA
Alberts, 2010;none;no treatment;dietary treatment + mindfulness;dietary treatment;NA;NA;2,14;0,60;general food craving questionnaire;msd;NA;2,52;0,26;10;3,08;0,27;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,69;0,31;10;3,26;0,32;9;1;1;0;1;1;2010;post;7,00;weight/eating;obesity;51,88;89,47;NA;NA;netherlands;NA;0;0;0;NA;NA;NA;NA;NA;NA;alberts2010_msd_generalfoodcravingquestionnaire_post_7.00_NA_none_notreatment_NA_NA
Alberts, 2012;mbct;no treatment;modified mbct;waitlist;NA;NA;-0,42;0,40;bmi;msd;NA;33,85;6,56;12;31,23;5,54;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;34,23;6,73;12;31,46;5,37;14;1;1;0;1;1;2012;post;8,00;weight/eating;obesity;48,50;100,00;NA;NA;netherlands;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alberts2012_msd_bmi_post_8.00_NA_mbct_notreatment_NA_NA
Alberts, 2012;mbct;no treatment;modified mbct;waitlist;NA;NA;0,75;0,41;kims;msd;NA;3,35;0,30;12;3,03;0,49;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,01;0,31;12;2,93;0,55;14;1;5;0;1;1;2012;post;8,00;weight/eating;obesity;48,50;100,00;NA;NA;netherlands;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alberts2012_msd_kims_post_8.00_NA_mbct_notreatment_NA_NA
Alberts, 2012;mbct;no treatment;modified mbct;waitlist;NA;NA;0,74;0,41;dutch eating behaviour questionnaire;msd;NA;3,17;0,56;12;3,32;0,61;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,35;0,60;12;3,25;0,67;14;1;3;0;1;1;2012;post;8,00;weight/eating;obesity;48,50;100,00;NA;NA;netherlands;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alberts2012_msd_dutcheatingbehaviourquestionnaire_post_8.00_NA_mbct_notreatment_NA_NA
Alberts, 2012;mbct;no treatment;modified mbct;waitlist;NA;NA;0,24;0,39;body shape questionnaire;msd;NA;2,42;0,82;12;2,64;0,95;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,08;0,20;12;2,63;0,84;14;1;2;0;1;1;2012;post;8,00;weight/eating;obesity;48,50;100,00;NA;NA;netherlands;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alberts2012_msd_bodyshapequestionnaire_post_8.00_NA_mbct_notreatment_NA_NA
Alberts, 2012;mbct;no treatment;modified mbct;waitlist;NA;NA;2,47;0,53;general food craving questionnaire trait;msd;NA;3,19;0,20;12;3,70;0,20;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,73;0,61;12;3,60;0,97;14;1;4;0;1;1;2012;post;8,00;weight/eating;obesity;48,50;100,00;NA;NA;netherlands;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alberts2012_msd_generalfoodcravingquestionnairetrait_post_8.00_NA_mbct_notreatment_NA_NA
Alexander, 2012;none;ebt;cognitive intensive outpatient program + mindfulness;cognitive intensive outpatient program + cognitive therapy;NA;NA;-0,20;0,26;beck depression inventory;msd;NA;0,50;0,05;33;0,49;0,05;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,66;0,05;33;0,64;0,05;27;0;1;0;1;1;2012;post;4,00;depression;depression;45,00;72,00;17,00;66,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alexander2012_msd_beckdepressioninventory_post_4.00_NA_none_ebt_NA_NA
Alexander, 2012;none;ebt;cognitive intensive outpatient program + mindfulness;cognitive intensive outpatient program + cognitive therapy;NA;NA;1,17;0,28;mindfulness self;msd;NA;2,76;0,11;33;2,63;0,11;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,49;0,08;33;2,45;0,11;27;0;2;0;1;1;2012;post;4,00;depression;depression;45,00;72,00;17,00;66,00;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alexander2012_msd_mindfulnessself_post_4.00_NA_none_ebt_NA_NA
Alterman, 2004;none;no treatment;mindfulness + standard treatment;standard treatment;NA;NA;0,01;0,41;addiction severity index;msd;NA;0,25;0,22;15;0,25;0,21;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,39;0,22;15;0,28;0,21;10;0;1;0;1;1;2004;post;8,00;addiction;substance abuse;36,48;54,85;58,10;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alterman2004_msd_addictionseverityindex_post_8.00_NA_none_notreatment_NA_NA
Alterman, 2004;none;no treatment;mindfulness + standard treatment;standard treatment;NA;NA;0,04;0,41;addiction severity index;msd;NA;0,22;0,22;15;0,24;0,21;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,39;0,22;15;0,28;0,21;10;0;1;0;1;1;2004;fu;8,00;addiction;substance abuse;36,48;54,85;58,10;NA;united states;1,00;0;0;0;NA;NA;NA;NA;NA;NA;alterman2004_msd_addictionseverityindex_fu_8.00_NA_none_notreatment_NA_NA
